nome;caracteristicas;ano;data_registro
honda accord;good|6 cylinders|gas|automatic|fwd|sedan|silver;2008;2021-05-03
chevrolet silverado 1500 ltz crew cab 4wd;automatic|4wd|pickup;2011;2021-05-03
chevrolet silverado 1500 lt crew cab 4wd;automatic|4wd|pickup;2015;2021-05-03
chevrolet silverado 1500 2lt crew cab long box 4wd;automatic|4wd|pickup;2014;2021-05-03
ford f-150;good|8 cylinders|gas|automatic|truck|green;1978;2021-05-03
ford f750;diesel|automatic;2005;2021-05-03
gmc sierra 2500 hd extended cab;good|8 cylinders|gas|other|4wd|pickup|black;2012;2021-05-03
gmc canyon extended cab pickup;good|other|other|pickup;2018;2021-05-03
mercedes-benz ml350;excellent|6 cylinders|gas|automatic|4wd|SUV;2011;2021-05-03
chrysler 300m;6 cylinders|gas|automatic|fwd|sedan;1999;2021-05-03
ford f100;gas|manual;1954;2021-05-03
ford f-150;gas|automatic|4wd;2017;2021-05-03
ford escape;excellent|6 cylinders|hybrid|automatic|fwd|SUV|white;2011;2021-05-03
chevrolet malibu;like new|8 cylinders|gas|automatic|rwd|black;1979;2021-05-03
infiniti g35 sedan;6 cylinders|gas|automatic|rwd|sedan;2003;2021-05-03
chevrolet silverado 1500;excellent|8 cylinders|gas|automatic|4wd|truck|red;2019;2021-05-03
chevrolet monte carlo;excellent|gas|automatic;1970;2021-05-03
jeep grand cherokee laredo;excellent|6 cylinders|gas|automatic|4wd;2009;2021-05-03
chevrolet silverado 2500hd 4x4;like new|8 cylinders|diesel|automatic|4wd|truck|silver;2017;2021-05-03
mercedes-benz 1929 ssk replica;good|4 cylinders|gas|automatic|rwd|convertible|yellow;1974;2021-05-03
chevrolet tahoe;excellent|8 cylinders|gas|automatic|4wd|offroad|black;1996;2021-05-03
toyota corolla;gas|automatic|fwd|black;2020;2021-05-03
kia soul;gas|automatic|fwd|red;2018;2021-05-03
ford f-150;gas|automatic|4wd|blue;2018;2021-05-03
nissan kicks;gas|automatic|fwd;2020;2021-05-03
chevrolet colorado extended cab;good|6 cylinders|gas|other|4wd|pickup|red;2016;2021-05-03
chevrolet corvette convertible;good|8 cylinders|gas|other|rwd|other|red;2010;2021-05-03
kia sorento;gas|automatic|fwd;2017;2021-05-03
nissan pathfinder;gas|automatic|rwd;2007;2021-05-03
volkswagen passat tdi;excellent|diesel|automatic|white;2015;2021-05-03
porsche cayman;6 cylinders|gas|automatic|rwd|coupe|black;2008;2021-05-03
mercedes-benz s-class;8 cylinders|gas|automatic|4wd|sedan|grey;2015;2021-05-03
mercedes-benz clk320;good|6 cylinders|gas|automatic|rwd|convertible|silver;2004;2021-05-02
chevrolet silverado;excellent|8 cylinders|gas|automatic|4wd|truck|red;2017;2021-05-02
cadillac srx;6 cylinders|gas|automatic|rwd|SUV|white;2004;2021-05-02
ford taurus;like new|gas|automatic|fwd|white;2015;2021-05-02
nissan altima;gas|automatic;2011;2021-05-02
bmw x3;4 cylinders|gas|manual|rwd|SUV|white;2013;2021-05-02
honda accord ex-l;excellent|4 cylinders|gas|manual;2005;2021-05-02
mazda miata mx-5;excellent|4 cylinders|gas|automatic|rwd|convertible|white;2008;2021-05-02
cadillac sts;8 cylinders|gas|automatic|rwd|sedan|white;2005;2021-05-02
chevrolet corvette;like new|8 cylinders|gas|manual|hatchback|black;2000;2021-05-02
chevrolet bel air;good|8 cylinders|gas|automatic|rwd|sedan|green;1955;2021-05-02
acura tl;6 cylinders|gas|automatic|fwd|sedan|silver;2005;2021-05-02
toyota camry;4 cylinders|gas|automatic|fwd|sedan|green;1996;2021-05-02
nissan murano;6 cylinders|gas|automatic|fwd|SUV|white;2006;2021-05-02
ram 2500;diesel|automatic|4wd;2018;2021-05-02
kia sorento;6 cylinders|gas|other|rwd|SUV;2011;2021-05-02
jeep wrangler sport s utility 2d;good|6 cylinders|gas|other|4wd|other|white;2017;2021-05-02
toyota avalon;6 cylinders|gas|automatic|fwd|sedan|silver;2008;2021-05-02
honda odyssey ex;good|gas|automatic|van|silver;2013;2021-05-02
buick lesabre;6 cylinders|gas|automatic|fwd|sedan|blue;2000;2021-05-02
ford edge;6 cylinders|gas|automatic|4wd|sedan|white;2007;2021-05-02
ford f-350;diesel|automatic|4wd;2015;2021-05-02
toyota tacoma access cab pickup;good|other|other|pickup|red;2014;2021-05-02
